,Locality,Restaurant_Type,Ratings_out_of_5,Number of votes,Cuisines,Cost,payment_modes,5_star_review_percentage
9715,1,34,0.0,0,168,0.0,5,0
9716,37,34,0.0,0,865,0.0,3,0
9717,95,34,0.0,0,226,0.0,3,0
9718,61,69,0.0,0,479,300.0,3,0
9719,37,69,0.0,0,200,350.0,3,0
9720,31,79,0.0,0,1326,0.0,3,0
9721,58,34,0.0,0,200,0.0,5,0
9722,22,23,0.0,0,1707,550.0,3,0
9723,51,69,0.0,0,479,350.0,3,0
9724,51,69,0.0,0,2519,250.0,3,0
9725,51,69,0.0,0,1517,300.0,3,0
9726,50,69,0.0,0,479,300.0,6,0
9727,55,69,0.0,0,479,250.0,6,0
9728,17,47,3.0,4,874,400.0,5,75
9729,94,69,0.0,0,2246,150.0,3,0
9730,34,34,0.0,0,1326,0.0,3,0
9731,17,34,0.0,0,1517,0.0,5,0
9732,64,79,0.0,0,251,0.0,5,0
9733,45,69,3.1,5,2463,100.0,5,100
9734,60,69,0.0,0,865,200.0,5,0
9735,0,80,0.0,0,1517,0.0,3,0
9736,51,69,0.0,0,1517,300.0,6,0
9737,60,69,0.0,0,1581,400.0,1,0
9738,73,14,0.0,0,388,200.0,3,0
9739,36,80,0.0,0,1517,0.0,5,0
9740,46,79,0.0,0,479,0.0,3,0
9741,0,23,0.0,0,1326,250.0,6,0
9742,4,69,0.0,0,1326,250.0,5,0
9743,96,34,0.0,0,1517,0.0,5,0
9744,88,69,0.0,0,479,300.0,3,0
9745,50,69,0.0,0,1381,450.0,3,0
9746,94,69,0.0,0,200,250.0,3,0
9747,61,79,0.0,0,200,0.0,3,0
9748,50,69,0.0,0,1554,150.0,5,0
9749,60,69,0.0,0,200,300.0,5,0
9750,32,24,0.0,0,785,1200.0,1,0
9751,6,79,0.0,0,1326,0.0,3,0
9752,32,69,0.0,0,1300,250.0,3,0
9753,18,80,0.0,0,1517,0.0,5,0
9754,84,69,0.0,0,2463,200.0,5,0
9755,36,14,0.0,0,338,200.0,3,0
